,id,avg_accel_x,avg_accel_y,avg_accel_z,avg_enmo,avg_anglez,sum_non_wear_flag,avg_light
0,00115b9f,-0.31638350708708524,0.016008794383341674,-0.16789009855398757,0.04738761215892113,-10.580415352776383,0.0,42.29630926816121
1,001f3379,-0.004272257223216174,0.016858876541917523,-0.6317314230275448,0.011926252442999804,-55.630767828372576,259920.00000890344,16.771980609246814
2,00f332d1,0.20803612960207868,0.05709428047622602,0.1415497482666339,0.030255252976658945,6.687339037764843,70961.50000300491,66.56339669395399
3,01085eb3,-0.3433962537887331,-0.05582584841562319,-0.2544325277352279,0.03294585662455051,-17.58903689984067,13061.50000033388,17.800734544477383
4,012cadd8,0.018670142913903887,0.07166024676949412,-0.0616822856546176,0.058279570093149415,-5.05975756114462,0.0,54.89340079593745
5,012e3869,-0.16302837204265347,0.4589262430080126,0.2598839518297953,0.009607383579784573,17.434620055368136,249077.5000079018,15.005653422372232
6,029a19c9,0.25075388864673487,-0.07584464767057142,-0.19210978672185808,0.026558957331679692,-14.090877964965136,16961.50000077905,27.16024303201715
7,02cebf33,0.2398755069393887,-0.002799811120511357,0.17254539512387013,0.014279276412972467,8.600657367156826,275580.00001023896,38.78907112471261
8,02cf7384,-0.07550786092810488,-0.03180245674394742,-0.04268022062555819,0.02190407924327756,-2.173993293828977,109260.00000534207,14.37721852081401
9,035c96dd,-0.02311156107930576,0.702397430945778,-0.1745309064362157,0.004132095638643323,-15.858891265742404,352085.50000255974,16.230511980850398
10,03a9019b,-0.03748921467018097,-0.012890798498931365,-0.13401736839508233,0.04263703864111717,-8.453626408626862,0.0,25.037835139921903
11,0417c91e,-0.14708981217532974,-0.01700171399921863,-0.004732452459401803,0.058441189219437764,-0.7965388763001557,0.0,123.44494462624512
12,045a0a94,-0.019366282432208774,-0.15044825104199563,-0.19041912700722916,0.013649846206038367,-15.63835597898196,184217.50000678888,11.086029447958408
13,04afb6f9,-0.4618910490130321,0.07453599198591174,-0.1276553822822603,0.03253993038771959,-8.715010071564837,12677.500000779051,15.826611513448762
14,04bb1a76,-0.03781594341676922,-0.07187991802331697,-0.01758474563382392,0.0039171819278296825,-1.563920310070275,320220.0000144681,7.00142700819594
15,04cb2c30,0.06318895862745731,0.03957118021648702,-0.28350052028292894,0.0325233275842531,-19.600659042151907,42689.13333655335,20.719872308496548
16,04d06a9c,-0.3948264437931358,0.06164962315816997,-0.14300542564727506,0.08799836376079458,-10.413218003880663,0.0,22.736117667919327
17,04f094a8,-0.22871322174028821,0.09855708755521271,-0.2529061023145978,0.04266620391192336,-17.787251640555937,13781.500001001637,31.581180601481
18,051680a0,0.20222974082845604,-0.003141007316977958,-0.18839196681901998,0.07997131822129026,-13.381114466506778,0.0,140.63410739924626
19,055156e2,-0.27258048902717397,-0.21758547743845086,-0.3215517723898301,0.04099264962701333,-21.863907750935937,0.0,27.778571922324886
20,059eed01,-0.18898608243607481,0.6659150137785594,0.20220841212024804,0.020590105544267063,8.975401557084279,320760.0000097938,18.51904892582988
21,05bbed1b,0.016192509899297363,-0.04897109111290034,-0.2913423765725961,0.031819692872728025,-22.37866051353869,26640.00000222586,43.13851921147109
22,05db1b9b,0.040186292494841735,0.029049334203388698,0.28540332954961745,0.03854417267157881,20.755979822118157,102780.00000111293,32.58757112585107
23,05e94f88,0.05404143818493878,0.11030446140993819,-0.9324554899257805,0.004260287244029444,-75.9016335434361,416621.50000255974,3.2646364504042857
24,063b16fc,0.06104053356959909,0.011551105557674508,-0.22524849717681508,0.02604009259773408,-16.36406829532575,66221.50000678888,62.60359840169996
25,064e8da5,-0.1807060569194473,0.003839038708997933,-0.1336827216865228,0.06273800483894347,-9.326001210665211,0.0,48.259850053411384
26,0668373f,-0.4711835679330822,-0.21221300449301306,-0.10854160065802296,0.1242990147135542,-8.148931010572584,0.0,101.79066577444816
27,067b9287,-0.2679722682337681,0.05570534190528437,-0.21268457671647714,0.03124643176973097,-16.573276575727494,10800.000000890344,13.702660621599236
28,06c8b2fb,0.4695797917812391,0.023497355855894967,-0.18441377906796044,0.08626193882575581,-12.599390511607265,0.0,66.00213950456953
29,06eb8adb,0.02722772584010438,-0.16744064814135667,0.025673848670940316,0.06016766208330067,1.349984613474119,0.0,19.902995121902492
30,070386b2,0.09259184305796515,-0.18934619534679215,0.06939272892680304,0.0273185325870404,4.863327320160926,88097.5000063437,45.338763557011326
31,07048067,0.34456894869566235,0.08296915499864813,-0.017842581526604992,0.04725196135328219,-1.0933187121773538,0.0,22.644886196769928
32,0720320e,0.1737814081842815,0.43303482594007797,-0.6383081756755069,0.00659404481822527,-47.427256847322404,313493.5000094599,20.999400168077536
33,0745c390,-0.05463848471519026,-0.1639233467119883,-0.11430206620551497,0.045252302973271576,-7.805897126044796,0.0,46.00952975801474
34,080698b7,-0.31790529684897306,-0.020425654377851085,-0.179643651200379,0.05355852890986897,-12.183536072605149,0.0,109.49755631723961
35,082df556,-0.2743706770468936,0.07580254341656452,-0.30928824000015787,0.01466717831880411,-24.5848335046256,201389.50000567595,71.57673956414004
36,08577722,0.07167086020844006,-0.023677752145396802,0.8669232227000063,0.00630247390428268,73.40027825015072,356369.50000589853,6.151620356528826
37,08660d12,0.21931643687354865,-0.02845249662096746,-0.16136422181440174,0.028481976822467364,-11.53169711282099,46973.50000255974,112.09075998522901
38,089a6b19,-0.3345699685373669,0.04065221109093226,-0.10639079565782611,0.05668733302002406,-7.474491251666932,0.0,17.446563798801336
39,09331bb8,-0.03424455075738121,0.02278473033409237,-0.3500659274150888,0.02546043421096484,-28.994935347361185,200700.0000113519,12.710031494699418
40,0983654b,0.11205425096213503,-0.0383500925264417,-0.11583560643794287,0.0993114317070611,-8.518156231689021,0.0,121.62174587526866
41,099e3614,-0.3357440468736332,-0.008404168936447496,-0.02446423478244799,0.07716167212869382,-2.1967177512054485,0.0,110.53878034850244
